Epoch,Train Loss,Val Loss,Val Valence RMSE,Val Arousal RMSE,Val Overall RMSE,Val Valence MAE,Val Arousal MAE,Val Valence R2,Val Arousal R2
245,0.1523,0.8208,0.2454,0.1379,0.199,0.1875,0.1114,-0.1348,-0.1301
246,0.1487,0.8205,0.2463,0.1379,0.1996,0.1884,0.1115,-0.1432,-0.1297
247,0.1551,0.8213,0.2467,0.1379,0.1999,0.1888,0.1115,-0.147,-0.1309
248,0.154,0.8234,0.2469,0.1376,0.1999,0.1884,0.1112,-0.1492,-0.1263
249,0.1467,0.8255,0.247,0.1372,0.1998,0.1883,0.1108,-0.1498,-0.1193
250,0.1524,0.8227,0.2464,0.1367,0.1993,0.1877,0.1106,-0.1442,-0.1111
251,0.1485,0.8213,0.2469,0.1362,0.1994,0.1889,0.1105,-0.1484,-0.1035
252,0.1458,0.8214,0.2472,0.1361,0.1995,0.1894,0.1105,-0.1514,-0.1017
253,0.1526,0.8213,0.2464,0.1363,0.1991,0.1883,0.1105,-0.1437,-0.105
254,0.1498,0.8219,0.245,0.1368,0.1984,0.1864,0.1106,-0.1315,-0.1123
255,0.1459,0.823,0.2448,0.1375,0.1985,0.186,0.111,-0.1292,-0.1235
256,0.1436,0.8222,0.2449,0.1382,0.1988,0.1862,0.1114,-0.1303,-0.1348
257,0.1471,0.822,0.2457,0.1388,0.1995,0.1868,0.112,-0.1373,-0.1452
258,0.144,0.8213,0.2463,0.1391,0.2,0.1877,0.1123,-0.143,-0.15
259,0.141,0.8216,0.2465,0.1391,0.2002,0.1879,0.1124,-0.1453,-0.1502
260,0.1451,0.8213,0.2465,0.1389,0.2,0.1878,0.1122,-0.1447,-0.1462
261,0.1527,0.8201,0.2464,0.1384,0.1998,0.1879,0.1119,-0.1441,-0.1389
262,0.145,0.8193,0.2463,0.1381,0.1996,0.1878,0.1117,-0.1428,-0.133
263,0.1473,0.8189,0.2458,0.1378,0.1993,0.1873,0.1114,-0.1389,-0.1283
264,0.1429,0.8186,0.2451,0.1375,0.1987,0.1866,0.1111,-0.132,-0.1241
265,0.1438,0.8188,0.2447,0.1373,0.1984,0.1862,0.1108,-0.1283,-0.1213
266,0.1445,0.8184,0.2444,0.1371,0.1981,0.1859,0.1106,-0.1253,-0.1176
267,0.1411,0.8181,0.2443,0.137,0.198,0.186,0.1104,-0.1245,-0.1153
268,0.1438,0.8176,0.2444,0.137,0.1981,0.1863,0.1104,-0.1252,-0.115
269,0.1483,0.8171,0.2445,0.1369,0.1981,0.1865,0.1104,-0.1261,-0.1137
270,0.1496,0.8172,0.2446,0.1369,0.1982,0.1866,0.1104,-0.1274,-0.1134
271,0.1441,0.8175,0.2449,0.1369,0.1984,0.1868,0.1105,-0.1304,-0.1142
272,0.1412,0.8179,0.2453,0.1369,0.1987,0.1871,0.1106,-0.134,-0.1144
273,0.1465,0.8182,0.2457,0.137,0.1989,0.1874,0.1107,-0.1375,-0.1152
274,0.1454,0.8188,0.246,0.1371,0.1991,0.1875,0.1109,-0.1404,-0.1167
275,0.1388,0.8192,0.2463,0.1371,0.1993,0.1877,0.111,-0.1431,-0.1178
276,0.1418,0.8195,0.2465,0.1372,0.1995,0.1879,0.1111,-0.1446,-0.1188
277,0.1408,0.8196,0.2466,0.1373,0.1995,0.188,0.1111,-0.1455,-0.1202
278,0.143,0.8196,0.2466,0.1373,0.1996,0.188,0.1112,-0.1457,-0.1211
279,0.1392,0.8195,0.2465,0.1374,0.1996,0.188,0.1112,-0.1453,-0.122
